gene_id	ID	log2FC	AveExpr	t_stat	P.Value	adj.P.Val	B_stat
5782	PRAME	-6.020855702831608	3.0104278514158045	-439.82010637490555	1.5332569799298516e-33	1.997892862398116e-29	64.49542023379794
11191	MMP10	-9.685568465306485	4.842784232653243	-429.0241717343905	2.2649278567034532e-33	1.997892862398116e-29	64.2568351677347
5987	TACSTD2	8.221401234459234	4.124722840304072	387.2581724286539	1.1306720072203109e-32	6.649105183793575e-29	63.22112064743207
13467	SLIT2	-6.596939198081245	3.2984695990406228	-364.52355879214286	2.922839207445112e-32	1.119675749915752e-28	62.57073051574726
14695	SLC2A3	-8.003661008219972	4.052016135613607	-362.6192224580827	3.173324311063802e-32	1.119675749915752e-28	62.51311391942673
7804	MMP1	-9.074683165174589	4.547146941285221	-353.9762659435956	4.6342241975824853e-32	1.3626163882291701e-28	62.24511398009558
3724	VIM	-9.449956914816456	4.937290420026466	-345.0003178153386	6.935556890919539e-32	1.7479584952800357e-28	61.95505756474965
8255	COL5A2	-8.001237406508924	4.7549653394950955	-338.3571208833679	9.411009359348697e-32	2.0753628389703713e-28	61.7323013512253
3799	IRF6	6.497810926794363	3.289627346928536	327.6216530242787	1.5611567958324893e-31	3.0602142435640863e-28	61.35698579856803
16452	TENM2	-4.7335199496572065	2.397605377887026	-316.4065558060363	2.6971501236793773e-31	4.758312248195158e-28	60.943414256044676
14423	COL3A1	-8.476740145052103	4.249433696458237	-302.9595000711682	5.332996803601353e-31	8.5531572371940975e-28	60.41631570571498
1962	ZBTB7C	9.014972791224528	4.509490821110005	289.01865746872824	1.1171565254087894e-30	1.6424062851051554e-27	59.8307381088852
15298	SDC2	-5.067211411850821	2.533605705925411	-279.1925953643841	1.9227046829091195e-30	2.609258155067899e-27	59.39197777638461
5752	INA	-5.077107491530626	2.5385537457653133	-277.71734361091956	2.0894366424255788e-30	2.6329886604051472e-27	59.32413522657403
7267	TGFBI	6.176875674852621	3.1059702856602787	271.57675327205004	2.9679090583562312e-30	3.490656773834709e-27	59.03599381944129
3126	SERPINB1	-5.487855332753479	2.7900707069689137	-265.35492795889616	4.270150982984618e-30	4.7083752276134145e-27	58.73425702695755
3141	MAGED1	-5.0981107900652205	2.5490553950326107	-259.2909676563075	6.1380648979030764e-30	6.369867113459181e-27	58.43026474876871
256	IGFBPL1	-4.808498795353672	2.460210550832231	-258.2229184108426	6.548905604771037e-30	6.4186551488539244e-27	58.37567507986567
11546	GNB4	-6.063315422355548	3.112983450147889	-256.8790647889665	7.107840100245427e-30	6.599816581501569e-27	58.30653345501092
17319	PDE4B	-5.653171259344297	2.8265856296721488	-254.97093643849217	7.990290242862979e-30	7.032371640352379e-27	58.20747880763389
5100	TRIM29	6.360899801209978	3.250324119704329	254.05400394750998	8.455151003526269e-30	7.032371640352379e-27	58.15950740663996
2479	C1orf116	4.844784366397907	2.46246496163294	253.4637787353195	8.769537245649719e-30	7.032371640352379e-27	58.128499695240365
1849	KRT5	10.820292475881617	5.41014623794081	251.38678513155156	9.97852147031706e-30	7.5606517238546e-27	58.0185748996643
14013	ALDH1A1	-9.735611660603318	5.181639301210892	-250.90207001597636	1.0285434835761839e-29	7.5606517238546e-27	57.992738543093
16523	GRHL2	4.53777574811521	2.268887874057604	249.0981962576332	1.1518841459195243e-29	8.128616040924898e-27	57.895973466999735
10665	IL1B	6.853184605632562	3.4460685360898045	242.61783815518103	1.7421821510579573e-29	1.182137596498634e-26	57.54016915487634
12405	HGF	-7.536700268110507	3.771017864104662	-237.50551331107886	2.4336831481757512e-29	1.590186596300615e-26	57.25012312182065
9544	EPHA5	-3.901819452237959	1.9509097261189796	-235.64132084440587	2.754091396632933e-29	1.7352743006927928e-26	57.14223143233457
5391	FAT2	4.845062746110717	2.464792382522736	232.56322656287395	3.38537060436846e-29	2.059472696629944e-26	56.96152721610346
10577	INPP5D	5.206361062290014	2.6248083384961047	229.32827416369108	4.2178234613132484e-29	2.4803613834829446e-26	56.768103976756734
1927	CRISPLD1	-4.935379371523038	2.4676896857615196	-226.8371719544344	5.006534392125198e-29	2.849202572447508e-26	56.616644430699054
16825	ST6GALNAC2	4.817615627223728	2.450708100657024	223.01554244470722	6.536622995758971e-29	3.586199444781221e-26	56.37992410312383
9543	DDR2	-5.756066969234462	2.931656461398625	-222.64786246862855	6.70811595498131e-29	3.586199444781221e-26	56.3568652064734
16497	GLUL	3.714060402964408	1.857030201482205	221.74687209370416	7.148913061892541e-29	3.7094448305267124e-26	56.300146161640086
10515	NRIP3	-4.169180209519127	2.0873094090662345	-219.59308344474633	8.3323734168807e-29	4.199992337731695e-26	56.163318258533565
1022	AKR1B10	5.565238232276129	2.788663530649409	218.52966239719913	8.992030372007336e-29	4.406594439526484e-26	56.095106243224635
7408	FGF5	-6.157098665341368	3.1456095107575766	-213.42690742340534	1.3028834682164268e-28	6.120847226504148e-26	55.76163267016064
12933	NEFH	-4.407848612712853	2.218477225412761	-213.26596915345877	1.3184003775487905e-28	6.120847226504148e-26	55.75094604726728
17043	TNS4	5.894499423883805	3.088790574936599	212.56733615159945	1.388074187729235e-28	6.279078158953632e-26	55.70443345961726
15749	ARHGEF9	-3.332603663238452	1.6762982140721547	-211.44806194423796	1.5079870420569242e-28	6.650976848992064e-26	55.62950034128089
13580	FABP5	6.8923726418676035	3.4717313107702017	207.2018483077052	2.073324338948052e-28	8.921362923834521e-26	55.340484699064376
578	DLGAP1	-5.639033873640156	2.9718011688428203	-203.6031219204108	2.729530589351456e-28	1.1465328251747233e-25	55.08950316704298
