gene_id
NLRP2
CLDN16
MEIS1
PAX9
GALC
ST6GAL1
GLDC
ADORA1
HOXB2
GSTM4
GNAI1
LRP11
PDIA6
ACP6
THY1
RCOR2
LPIN1
FKBP9
GUSB
DNAJB11
LTBP1
RFK
ENDOD1
TFCP2
PARD6B
SPATS2
LGR4
LRRC8B
IFITM1
FAR2
ECT2
TWSG1
KRTCAP3
GNAQ
ZNF92
