gene_id
CA2
ARAP3
WWC1
IER3
NOTCH1
ELFN2
MICAL2
FSCN1
SNAI2
MGLL
CCNJL
MDK
IFFO2
ANKRD2
EDN1
FBLIM1
STK10
GTF3C5
TRPM2
HSPG2
ANAPC2
JUN
MYH9
FAM25A
SURF6
SLC9A3
PEX6
MVD
SIPA1
SART1
