gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
MRPS18B	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.2739228904992184	0.03195620233010323	8.571822385827707	1.0186010631746932e-17	0.21128988484954114	0.3365558961488957	4.430138831467476e-6	1.6235811693200333	0.44406222291871944	0.07325784547960465	0.2739401976991843	0.03191023733979565	8.584712008943603	9.106426397032255e-18	NA	NA	NA	NA	7.969340699028671e-16	UP	1.0186010631746932e-17	3	3	0	1
RELA	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.43593119484964726	0.05087882615397409	8.568027759335346	1.0527242391825659e-17	0.3362105280121835	0.535651861687111	0.002721170661733793	2.580704033164479	0.27517390026267996	31.964478291959722	0.42559854485721643	0.03508988682838767	12.12880927597942	7.432223902585593e-34	NA	NA	NA	NA	8.1929649077855795e-16	UP	1.0527242391825659e-17	3	3	0	1
VPS45	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.4449705567182074	0.05204103653694795	-8.550378438413471	1.2268558454831233e-17	-0.5469691140487585	-0.3429719993876564	3.891739865219495e-4	1.961450893004176	0.37503892946164513	2.3076904494673682	-0.4434624769206127	0.04938184465471446	-8.980273621234106	2.700942238383118e-19	NA	NA	NA	NA	9.448706972478617e-16	DOWN	1.2268558454831233e-17	3	0	3	1
LSM14A	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.4394105689595739	0.051518261526245196	-8.529219658076444	1.4733818919959485e-17	-0.54038450609713	-0.33843663182201783	0.0033933302173319276	3.2030854688139594	0.2015852854260203	40.981752254026084	-0.4189408802406968	0.03530826786848276	-11.865234562091228	1.7939900059099297e-32	NA	NA	NA	NA	1.1172768224073894e-15	DOWN	1.4733818919959485e-17	3	0	3	1
ZNF644	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.5541416822083934	0.06541270317777462	-8.47146892404647	2.4231763459666882e-17	-0.6823482245682404	-0.4259351398485465	0	1.5657278400134151	0.457095051296595	0	-0.5541416822083934	0.06541270317777462	-8.47146892404647	2.4231763459666882e-17	NA	NA	NA	NA	1.8281381952963988e-15	DOWN	2.4231763459666882e-17	3	0	3	1
BRMS1	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.4788259986202321	0.0566947823873358	8.445680157107189	3.02280269404354e-17	0.3677062670297182	0.589945730210746	0.0025703536022987678	2.2108393104867887	0.33107191701936045	25.531957246516573	0.4748967666601991	0.046330443079672476	10.250209907199451	1.1808681308314326e-24	NA	NA	NA	NA	2.2689433216660825e-15	UP	3.02280269404354e-17	3	3	0	1
ESYT3	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.2881353675577281	0.034172833868396535	8.431708317412895	3.406552151839285e-17	0.22115784392600035	0.3551128911894559	2.9950273120960536e-6	1.49307727853853	0.47400441676101274	0.016652194565293026	0.28813764974638995	0.03413467517273162	8.44120086944808	3.140938418400452e-17	NA	NA	NA	NA	2.54407508430543e-15	UP	3.406552151839285e-17	3	3	0	1
NADK2	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.23316648571775164	0.027777483713776547	-8.39408234814697	4.695469777421604e-17	-0.28760935337790156	-0.1787236180576017	0	1.52691063583349	0.4660532793994989	0	-0.23316648571775164	0.027777483713776547	-8.39408234814697	4.695469777421604e-17	NA	NA	NA	NA	3.489040783855943e-15	DOWN	4.695469777421604e-17	3	0	3	1
URM1	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.3906215414892109	0.04833985359230066	8.080734889760345	6.437762790544043e-16	0.29587716943036246	0.48536591354805936	0.0018283872814687972	2.97090205596487	0.2264002048175333	20.250416105476305	0.39603311741700986	0.03629821649205657	10.910539296157346	1.0264559405380982e-27	NA	NA	NA	NA	4.643668213842671e-14	UP	6.437762790544043e-16	3	3	0	1
PANK1	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.3389262503949901	0.04198241169357935	-8.073053374559336	6.856161767440169e-16	-0.42121026529853883	-0.25664223549144133	0	0.31014280129758703	0.8563540310672776	0	-0.3389262503949901	0.04198241169357935	-8.073053374559336	6.856161767440169e-16	NA	NA	NA	NA	4.8976842538713905e-14	DOWN	6.856161767440169e-16	3	0	3	1
SH3GL1	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.46064841855582006	0.057078570796180866	8.070426644015447	7.005294260095673e-16	0.3487764755062859	0.5725203616053542	2.289371123628529e-6	2.5950894117534	0.27320176089135956	0.014423003016045549	0.4606468280650982	0.05706674612924783	8.072071027526269	6.911564661489453e-16	NA	NA	NA	NA	4.980157991540131e-14	UP	7.005294260095673e-16	3	3	0	1
PRKACB	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.40962779330610866	0.05083797097252347	8.05751656625913	7.786004399879923e-16	0.30998720115287	0.5092683854593474	7.962744531873596e-7	2.6251171856639326	0.26913057914439525	0.008807113979270583	0.4096267028268868	0.05083461659981629	8.05802679799039	7.753582364153458e-16	NA	NA	NA	NA	5.508691246938967e-14	UP	7.786004399879923e-16	3	3	0	1
ATF7IP2	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.45272288940801425	0.05635827375941178	8.032944574218972	9.516066452817215e-16	0.3422627026087184	0.5631830762073101	2.2848388671176632e-6	1.9378580050700958	0.3794892525647146	0.01613881991898523	0.4527310114532076	0.05634709600135884	8.03468223885557	9.382173415408723e-16	NA	NA	NA	NA	6.668913489943514e-14	UP	9.516066452817215e-16	3	3	0	1
RPGR	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.419336904315239	0.05229108129784631	-8.019281565946697	1.063654361836801e-15	-0.5218255403716737	-0.31684826825880424	0	0.3967567510673264	0.8200595039748165	0	-0.419336904315239	0.05229108129784631	-8.019281565946697	1.063654361836801e-15	NA	NA	NA	NA	7.418989173811686e-14	DOWN	1.063654361836801e-15	3	0	3	1
GPBP1L1	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.4121197408259303	0.05147473778965366	-8.00625235839017	1.1825693012408312e-15	-0.5130083730072943	-0.3112311086445662	0.0016136296691764802	2.173914181480247	0.3372411281329324	17.950521760376716	-0.42101315237998305	0.04387537351642196	-9.595659675065866	8.338198593803088e-22	NA	NA	NA	NA	8.171332830583257e-14	DOWN	1.1825693012408312e-15	3	0	3	1
ACVR2B	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.20984107601311552	0.026249986372428133	-7.99394990290447	1.3068288033586057e-15	-0.2612901038977419	-0.15839204812848917	0	0.16625523153725846	0.9202337033950647	0	-0.20984107601311552	0.026249986372428133	-7.99394990290447	1.3068288033586057e-15	NA	NA	NA	NA	8.98794303035521e-14	DOWN	1.3068288033586057e-15	3	0	3	1
ZNF7	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.33592935648547867	0.042039551914643473	-7.990792983891574	1.3407353144659558e-15	-0.4183253641643817	-0.25353334880657563	3.016783188544282e-4	1.6195323714272496	0.44496209255518077	4.919754412812158	-0.3346008955791252	0.0404504306691668	-8.2718747376446	1.318688109089677e-16	NA	NA	NA	NA	9.178450506948189e-14	DOWN	1.3407353144659558e-15	3	0	3	1
