gene_symbol	log2FC_A2780	SE_A2780	pval_A2780	padj_A2780	log2FC_PEO1	SE_PEO1	pval_PEO1	padj_PEO1	log2FC_UWB_BRCAdef	SE_UWB_BRCAdef	pval_UWB_BRCAdef	padj_UWB_BRCAdef
ABAT	-0.3922700562391779	0.047030846035191455	3.690580288550636e-7	7.431710700902901e-7	1.1837551850947985	0.17762876247262346	4.282492283818829e-4	0.00521123816541963	1.3996956911379204	0.34546337409473843	6.852956315783005e-6	3.3167121909287443e-5
ABCA1	-0.07017824681268425	0.026140435694867088	0.01647400483883354	0.02213851259648852	0.390140110057848	0.17509118816815994	0.06482659407591025	0.14556651003494378	-0.4086702720549224	0.2228939559983492	0.04600892606422843	0.08704601846455981
ABCA10	-0.6358101546451804	0.019549087167478916	7.872281722350347e-16	5.852625122027174e-15	NA	NA	NA	NA	NA	NA	NA	NA
ABCA11P	NA	NA	NA	NA	NA	NA	NA	NA	0.17714778338514348	0.12120740293798156	0.13531228183404553	0.21706547455841765
ABCA12	1.464080538207538	0.04522857338991246	8.468800697728205e-16	6.240175916513954e-15	NA	NA	NA	NA	NA	NA	NA	NA
ABCA13	0.04680731461301398	0.011785074832620894	0.00113232682596253	0.00167855725263684	0.02760913976216626	0.06403543955673126	0.6805555204674274	0.7871474952931253	-0.8845468739573626	0.4748021278380138	0.01382895437500726	0.03065441068936605
ABCA2	-0.02877324446876894	0.05639560666640232	0.6170065805569847	0.6597358076487113	-0.36978863259186223	0.19493809727059114	0.10374953745550394	0.20648951529567175	1.37305175668594	0.25430219057672043	9.870352792458356e-9	8.143951602928739e-8
ABCA3	-1.5317662146053532	0.04635108901902945	6.148298059261282e-16	4.6870142987787546e-15	0.1208124292303201	0.13829483063329823	0.41403384922360903	0.5586426353477053	0.27504367400874086	0.22392549475278964	0.18240592181535653	0.27614058305967315
ABCA4	-0.45068237092224384	0.043374000277645715	1.935509049083209e-8	4.463562175676598e-8	-1.3114244187567183	0.08918012204630789	3.7034657480013007e-6	4.4237157666725935e-4	-1.9398637634932072	0.1900975341510221	1.945116815260579e-25	1.0355431426006323e-23
ABCA5	-1.8146043753603367	0.066812866730271	1.2726550165938621e-14	7.249654440668037e-14	0.0415087719719216	0.07838233505104912	0.6143396227654614	0.7342275600345076	-0.07412891342881268	0.2877049108551667	0.7648358733949101	0.8357449797805874
ABCA6	-0.3624958806946877	0.027190151073620432	5.647219042507507e-10	1.5635316752654962e-9	NA	NA	NA	NA	NA	NA	NA	NA
ABCA7	-1.4129135821129042	0.06416697563057497	3.165731297286744e-13	1.4053807636319258e-12	0.17828880622380872	0.07307641317079765	0.04811729941103995	0.11700967386095074	1.6129808832538486	0.31057976663013187	2.3317415539994032e-8	1.8014027049949977e-7
ABCA8	-0.09714194816079888	0.023873028992160282	9.246350999432962e-4	0.00138006873377323	NA	NA	NA	NA	NA	NA	NA	NA
ABCA9	-0.5392197348650379	0.03502813795303795	6.874213226108875e-11	2.1403965713909768e-10	NA	NA	NA	NA	NA	NA	NA	NA
ABCB1	0.15283923130499774	0.016634976289581355	1.0317231304569425e-7	2.1934995742975873e-7	NA	NA	NA	NA	0.06451944019937568	0.544055767016491	0.7464212505935448	0.8218194579551324
ABCB10	0.34419196919061434	0.03171806626626473	1.0591893734117393e-8	2.50687133428091e-8	0.3265053978086141	0.17668450175847183	0.11122085429666756	0.21670867486670273	-0.23033689217734915	0.13315270300347584	0.07487683703554351	0.13190458675074024
ABCB11	0.03557110746056756	0.015824567043257524	0.03932866021458495	0.05100236867874946	NA	NA	NA	NA	NA	NA	NA	NA
ABCB4	0.05300522968627792	0.017500761873622553	0.00812124515630786	0.01122580953126877	0.07836652505969102	0.08636354853592255	0.3971932468124793	0.5423404086106198	0.09269580746371987	0.399163816972608	0.7521939933599443	0.8262573081668783
ABCB5	1.0281666312957516	0.06640788014409618	6.314435986172801e-11	1.9762157116916895e-10	NA	NA	NA	NA	-0.5378995056247958	0.8617127666421674	0.05514031120000708	0.10166758757244798
ABCB6	-0.7508543637631249	0.0763838381034221	4.143448469866393e-8	9.200593820690108e-8	-0.07098314970533287	0.09609926009934182	0.48641630022498794	0.6267957002381371	-0.11311015666878252	0.23435127381451343	0.5957255096014471	0.6985014365332123
