gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
ARRB1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.8108381522585744	0.24690782587883592	-3.2839710502188524	0.00102355435889288	-1.2947685984821793	-0.3269077060349693	0.21381419535008617	39.24122589783674	1.5429778232151927e-8	91.82371908627262	-1.1747549626476517	0.04250418939246003	-27.638568796139552	3.829539925890481e-168	NA	NA	NA	NA	0.0194343398519328	DOWN	0.00102355435889288	4	0	4	1
GRK4	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.23402010313887267	0.07128032845291296	-3.283095185138827	0.00102673991269908	-0.3737269797127677	-0.09431322656497762	0.00122712789211865	2.8773990451780938	0.4109166256270913	3.947551132953917	-0.23918009549651545	0.0664122833267864	-3.6014436413759876	3.164550300489865e-4	NA	NA	NA	NA	0.019448802462916144	DOWN	0.00102673991269908	4	2	2	0.5
WDR35	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.3808175680788776	0.1161649756801814	-3.2782477321505423	0.00104453681270206	-0.6084967366770044	-0.1531383994807508	0.04511683111955753	21.380685355776436	8.77489680068121e-5	84.24714658736629	-0.43653415228341863	0.04500140607410884	-9.700455838302677	3.0015460931359645e-22	NA	NA	NA	NA	0.01970573878135999	DOWN	0.00104453681270206	4	0	4	1
HNRNPUL2	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.5966356256134329	0.18258479422547705	-3.2677180383194315	0.00108418318937499	-0.9544952464200246	-0.2387760048068411	0.12597695579695797	68.88521194187771	7.395066436835004e-15	95.07237285883092	-0.4384463342444716	0.0381802451913965	-11.48359137157324	1.5951415119844185e-30	NA	NA	NA	NA	0.02038841089210819	DOWN	0.00108418318937499	4	0	4	1
SERP1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.3797343250510147	0.11697442512779624	-3.2463021266071572	0.00116914691192095	-0.6089999854137724	-0.15046866468825693	0.05011559375015844	31.641686940916763	6.227185875346748e-7	93.10227144506943	-0.4301402156184974	0.02387434726279145	-18.016836685997184	1.437304213480143e-72	NA	NA	NA	NA	0.021709044077759067	DOWN	0.00116914691192095	4	0	4	1
TENT2	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.2448532858778981	0.07547140421964027	-3.2443186715502876	0.00117731950294882	-0.3927745200110573	-0.09693205174473891	0	0.24013877099807973	0.6241059050142685	0	-0.2448532858778981	0.07547140421964027	-3.2443186715502876	0.00117731950294882	NA	NA	NA	NA	0.021837856089849204	DOWN	0.00117731950294882	2	0	2	1
SPAST	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.6425035694017093	0.19813975560277297	-3.2426787216281268	0.00118411655367861	-1.0308503542887126	-0.25415678451470597	0.14621350693463894	68.90002671965689	7.341258008128933e-15	94.19724473893388	-0.7701303621790556	0.04526282804599742	-17.014631993308644	6.397390376320052e-65	NA	NA	NA	NA	0.02194091018802598	DOWN	0.00118411655367861	4	0	4	1
EXPH5	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.353755057264675	0.10912284272097454	-3.241805734196472	0.001187749568294	-0.5676318988884139	-0.1398782156409361	0.0341279549645068	16.11776410230896	0.00107265140438802	75.25741544758486	-0.3598128778216713	0.04987085995675955	-7.214892186211477	5.39767247092542e-13	NA	NA	NA	NA	0.02198518232328067	DOWN	0.001187749568294	4	0	4	1
ODC1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.9537246898433492	0.29459647211495116	-3.23739345212256	0.0012062697473817	-1.5311231651612118	-0.37632621452548687	0.3298771914714074	314.019554020658	9.189991678699462e-68	98.7320800231874	-1.5521861607598697	0.01857332684889198	-83.57071263474089	0	NA	NA	NA	NA	0.022281327402786117	DOWN	0.0012062697473817	4	0	4	1
ATP5G2	2	A2780,PEO1	FALSE	-0.29182530958128156	0.09043259470906076	-3.226992551968019	0.0012509871641405	-0.46906993823954807	-0.11458068092301504	0.01071907544560819	2.465827222862087	0.11634643498975218	59.445658206364534	-0.33425351312135926	0.03988028209239271	-8.381422988608177	5.229161144161468e-17	NA	NA	NA	NA	0.02303510427136627	DOWN	0.0012509871641405	2	0	2	1
ZNF449	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.3352705456631352	0.10409008454006104	-3.22096525470781	0.00127759635975817	-0.5392833625093842	-0.1312577288168861	0.02929241233309305	15.783605292956302	0.00125590191825955	79.01824046073904	-0.27075311746235936	0.03868481866891039	-6.998950150952988	2.5788758891572516e-12	NA	NA	NA	NA	0.02345178696930963	DOWN	0.00127759635975817	4	0	4	1
