gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction
HTRA3	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	3.1136320223752554	0.04518193164715225	68.91321173895633	0	3.0250770635948867	3.202186981155624	0	0.16786053466988582	0.9194953727224346	0	3.1136320223752554	0.04518193164715225	68.91321173895633	0	NA	NA	NA	NA	0	UP
KRT14	2	A2780,PEO1	FALSE	5.140095753640919	0.10785940992232104	47.65551524287728	0	4.9286951947994275	5.351496312482411	0.00957776023355039	1.021777285161265	0.3120978027816425	2.131314277344862	5.150147752132488	0.04695692314377769	109.67813492300634	0	NA	NA	NA	NA	0	UP
SERPINB9	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	-3.312826639041773	0.03385121386831926	-97.86433809814388	0	-3.3791737990566415	-3.2464794790269047	6.270191692057927e-6	1.5695402131729224	0.45622457275497574	3.874705161459265e-4	-3.312822798993267	0.03375860400697813	-98.1326952473652	0	NA	NA	NA	NA	0	DOWN
VSIR	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	1.4042889141946115	0.03837775881585835	36.591217348896755	3.9451762349668506e-291	1.3290698891081647	1.4795079392810584	4.383637176109818e-6	2.768211349230095	0.2505477708568841	0.00205414716345338	1.4042808685925845	0.03832139291856652	36.64482842721037	5.531644444941288e-292	NA	NA	NA	NA	1.7434720076377249e-289	UP
PGGHG	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	-2.461362429286526	0.07166328763917229	-34.346211433664486	1.6043281744330015e-258	-2.6018198920730384	-2.320904966500014	2.380774816209152e-6	1.6962425091208488	0.42821869059546	0.006269192600116	-2.4613682624306428	0.07165116783759544	-34.3521025087767	1.3102007976469068e-258	NA	NA	NA	NA	5.671941827890434e-255	DOWN
ADAMTS2	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.7441690292014062	0.02910847273627619	-25.56537527556338	3.704293063211213e-144	-0.8012205874094736	-0.6871174709933388	1.3014411884874372e-7	9.0912326583974	0.02810217160665929	0.00134507105275673	-0.7441690805635932	0.02910682444479734	-25.566824782791052	3.5693291441589113e-144	NA	NA	NA	NA	1.0913464746397437e-140	DOWN
HPGD	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.752328390100597	0.03555404552414439	21.16013463474075	2.2258613314694405e-99	0.6826437413685765	0.8220130388326176	0	0.4966217590688309	0.7801173830476509	0	0.752328390100597	0.03555404552414439	21.16013463474075	2.2258613314694405e-99	NA	NA	NA	NA	5.620935822340757e-96	UP
ATP5L	2	A2780,PEO1	FALSE	-0.6605790997714351	0.03244055576745711	-20.362755327209836	3.578809068722108e-92	-0.7241614207141143	-0.596996778828756	0	0.02013659661326006	0.8871562483411098	0	-0.6605790997714351	0.03244055576745711	-20.362755327209836	3.578809068722108e-92	NA	NA	NA	NA	7.907825988475088e-89	DOWN
DNAAF5	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.5445082275622812	0.02749835384218995	19.801484506569174	2.890490405910975e-87	0.49061244439745033	0.5984040107271121	0	1.104963554772204	0.575519724699338	0	0.5445082275622812	0.02749835384218995	19.801484506569174	2.890490405910975e-87	NA	NA	NA	NA	5.6772443228098115e-84	UP
FOLR1	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	-3.1050698290208474	0.15934984915569286	-19.485866133371967	1.4470992565495962e-84	-3.417389794307896	-2.792749863733799	0.03673110940574894	3.6788086184770266	0.15891206036399363	46.30894850667514	-3.02053372961128	0.094966123587832	-31.806433868153597	5.2741996420269684e-222	NA	NA	NA	NA	2.558037355802721e-81	DOWN
