gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
TMEM44	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.7750654974754861	0.16995122271642515	4.560517336016665	5.102774919662335e-6	0.4419672218227474	1.1081637731282248	0.09583577505693516	22.932165009937098	4.1719321591242e-5	87.22643288813204	0.5758737771785629	0.04260460490114633	13.516702678378044	1.2463822919414742e-41	NA	NA	NA	NA	1.8870659467546254e-4	UP	5.102774919662335e-6	4	4	0	1
GTF2F1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.4180734048368772	0.0922319490283116	4.5328479907601755	5.819369436508611e-6	0.23730210651745243	0.598844703156302	0.02485010322032413	15.805916119741408	0.00124275283411786	78.18573360097636	0.42285499997023007	0.03757411360447495	11.253891560062495	2.2159452722130557e-29	NA	NA	NA	NA	2.1342114840075253e-4	UP	5.819369436508611e-6	4	4	0	1
BICC1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.7839260767528181	0.17339736408569398	-4.520980355649451	6.155390075675538e-6	-1.1237786653749573	-0.444073488130679	0.11320348521404988	87.9701197912988	5.977149888114543e-19	95.63233119445604	-1.0206955480762732	0.02615234569756886	-39.02883358455902	0	NA	NA	NA	NA	2.2388648223809976e-4	DOWN	6.155390075675538e-6	4	0	4	1
SNX1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.3707303871220154	0.08208441208165615	4.516452974691702	6.288407383940806e-6	0.20984789574982488	0.5316128784942059	0.02121298477773544	26.77259796978424	6.570323751436335e-6	83.07625641686865	0.5277856121996837	0.01771615287895018	29.791208949589908	5.077908733026521e-195	NA	NA	NA	NA	2.277872486186919e-4	UP	6.288407383940806e-6	4	4	0	1
RXRA	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	1.5526807384906487	0.34578311781815996	4.490331246614448	7.111249630951401e-6	0.874958281105085	2.2304031958762125	0.42757223831582025	44.9800763338201	9.343353931256143e-10	91.81242526031312	2.1074873447942273	0.06161912768287444	34.20183673551018	2.2705952266477468e-256	NA	NA	NA	NA	2.5601946991105485e-4	UP	7.111249630951401e-6	4	4	0	1
SCAMP1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.5691331265952517	0.12688670595490517	-4.485364501443661	7.278939178621092e-6	-0.8178265003837899	-0.3204397528067136	0.04756850070266971	10.261971202639351	0.01646564837002946	75.68586993386681	-0.5068714659759055	0.05924680533988171	-8.555253959570159	1.1760952068447183e-17	NA	NA	NA	NA	2.6046519809814784e-4	DOWN	7.278939178621092e-6	4	0	4	1
RPS6KA3	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.6025149623102507	0.13494399113210614	-4.464926205720465	8.009635363486511e-6	-0.8670003248592711	-0.33802959976123026	0.06381332517622972	31.089683087782305	8.138781369867044e-7	88.18438659289194	-0.5984351415859356	0.04549775876761353	-13.153068586136976	1.6340581356019668e-39	NA	NA	NA	NA	2.84309888193476e-4	DOWN	8.009635363486511e-6	4	0	4	1
SLC37A4	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.6666130490004736	0.14936912043101233	-4.462857162691506	8.087396695718721e-6	-0.9593711454476836	-0.3738549525532635	0.07564192902393482	41.76095011395624	4.509200368976298e-9	88.5149229982368	-0.38606062096211263	0.02778158370532135	-13.896278378405244	6.672150313692189e-44	NA	NA	NA	NA	2.8649481240525015e-4	DOWN	8.087396695718721e-6	4	0	4	1
LINC00342	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	1.358543855357335	0.30508415115531423	4.453013538109748	8.467341352756608e-6	0.7605899068389452	1.9564978038757248	0.14949809869340533	5.076787028985552	0.02424826462523984	80.30250246286536	1.3470170006032491	0.13525789623672574	9.958878838731351	2.3064903056042398e-23	NA	NA	NA	NA	2.9816173922844334e-4	UP	8.467341352756608e-6	2	2	0	1
FBXL18	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.6766246407880631	0.15215374895974912	4.44697975182365	8.70860429347355e-6	0.3784087727142061	0.97484050886192	0.07705313583483185	26.15754667789509	8.839764773745898e-6	88.09200772095143	0.4486027484556509	0.03713940927561121	12.078887553826556	1.365546853090617e-33	NA	NA	NA	NA	3.054404724121665e-4	UP	8.70860429347355e-6	4	4	0	1
PLAU	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.6592452748058529	0.14852166721684895	4.438714479573693	9.049777391699156e-6	0.36814815613698576	0.9503423934747202	0.08007560919255916	47.79535509186741	2.354076510234426e-10	93.16653374641533	0.6875445792110726	0.03690754653264559	18.628834582730207	1.8756403644886938e-77	NA	NA	NA	NA	3.1615200583609874e-4	UP	9.049777391699156e-6	4	4	0	1
